@W: CD266 :"C:\Microsemi\Libero_SoC_v12.2\SynplifyPro\lib\vhd\std_textio.vhd":208:6:208:9|good is not readable.  This may cause a simulation mismatch.
@W: CD643 :"D:\FPGA\H13D\hdl\main.vhd":6:22:6:22|Ignoring use clause - mylibrary not found ...
@W: CD326 :"D:\FPGA\H13D\hdl\main.vhd":281:4:281:7|Port err of entity work.cpu is unconnected. If a port needs to remain unconnected, use the keyword open.
@W: CD326 :"D:\FPGA\H13D\hdl\main.vhd":301:4:301:10|Port data_out_7 of entity work.registerfile is unconnected. If a port needs to remain unconnected, use the keyword open.
@W: CD326 :"D:\FPGA\H13D\hdl\main.vhd":301:4:301:10|Port register_selected_7 of entity work.registerfile is unconnected. If a port needs to remain unconnected, use the keyword open.
@W: CD326 :"D:\FPGA\H13D\hdl\main.vhd":301:4:301:10|Port data_out_6 of entity work.registerfile is unconnected. If a port needs to remain unconnected, use the keyword open.
@W: CD326 :"D:\FPGA\H13D\hdl\main.vhd":301:4:301:10|Port register_selected_6 of entity work.registerfile is unconnected. If a port needs to remain unconnected, use the keyword open.
@W: CD326 :"D:\FPGA\H13D\hdl\main.vhd":301:4:301:10|Port data_out_5 of entity work.registerfile is unconnected. If a port needs to remain unconnected, use the keyword open.
@W: CD326 :"D:\FPGA\H13D\hdl\main.vhd":301:4:301:10|Port register_selected_5 of entity work.registerfile is unconnected. If a port needs to remain unconnected, use the keyword open.
@W: CD326 :"D:\FPGA\H13D\hdl\main.vhd":301:4:301:10|Port data_out_4 of entity work.registerfile is unconnected. If a port needs to remain unconnected, use the keyword open.
@W: CD326 :"D:\FPGA\H13D\hdl\main.vhd":301:4:301:10|Port register_selected_4 of entity work.registerfile is unconnected. If a port needs to remain unconnected, use the keyword open.
@W: CD326 :"D:\FPGA\H13D\hdl\main.vhd":301:4:301:10|Port data_out_3 of entity work.registerfile is unconnected. If a port needs to remain unconnected, use the keyword open.
@W: CD326 :"D:\FPGA\H13D\hdl\main.vhd":301:4:301:10|Port register_selected_3 of entity work.registerfile is unconnected. If a port needs to remain unconnected, use the keyword open.
@W: CD326 :"D:\FPGA\H13D\hdl\main.vhd":301:4:301:10|Port data_out_2 of entity work.registerfile is unconnected. If a port needs to remain unconnected, use the keyword open.
@W: CD326 :"D:\FPGA\H13D\hdl\main.vhd":301:4:301:10|Port register_selected_2 of entity work.registerfile is unconnected. If a port needs to remain unconnected, use the keyword open.
@W: CD326 :"D:\FPGA\H13D\hdl\main.vhd":301:4:301:10|Port data_out_1 of entity work.registerfile is unconnected. If a port needs to remain unconnected, use the keyword open.
@W: CD326 :"D:\FPGA\H13D\hdl\main.vhd":301:4:301:10|Port register_selected_1 of entity work.registerfile is unconnected. If a port needs to remain unconnected, use the keyword open.
@W: CD326 :"D:\FPGA\H13D\hdl\main.vhd":301:4:301:10|Port access_grant of entity work.registerfile is unconnected. If a port needs to remain unconnected, use the keyword open.
@W: CD638 :"D:\FPGA\H13D\hdl\main.vhd":191:13:191:19|Signal data_we is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\main.vhd":191:22:191:28|Signal data_re is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\main.vhd":191:50:191:57|Signal data_rdy is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\main.vhd":191:60:191:68|Signal data_wack is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\main.vhd":193:7:193:16|Signal data_wdata is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\main.vhd":193:19:193:27|Signal data_addr is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\main.vhd":193:53:193:62|Signal data_rdata is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Signal int_gpio is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD796 :"D:\FPGA\H13D\hdl\main.vhd":212:7:212:15|Bit 3 of signal i_mem_rdy is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"D:\FPGA\H13D\hdl\main.vhd":212:18:212:27|Bit 3 of signal i_mem_wack is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD638 :"D:\FPGA\H13D\hdl\main.vhd":216:7:216:17|Signal i_mem_rdata_3_ is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD280 :"D:\FPGA\H13D\hdl\cpu_new.vhd":116:14:116:18|Unbound component ila_0 mapped to black box
@W: CD434 :"D:\FPGA\H13D\hdl\cpu_new.vhd":559:27:559:34|Signal selected in the sensitivity list is not used in the process. Make sure all variables in the sensitivity list are referenced in the process.
@W: CD434 :"D:\FPGA\H13D\hdl\cpu_new.vhd":683:27:683:34|Signal selected in the sensitivity list is not used in the process. Make sure all variables in the sensitivity list are referenced in the process.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_127_.data_we is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_127_.data_re is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_127_.data_wdata is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_127_.data_addr is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_127_.data_width is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_127_.imm is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_127_.next_pc is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_127_.result is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_127_.decrement_counter is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_127_.use_rd is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_127_.use_rs2 is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_127_.use_rs1 is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_127_.execution_done is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_127_.decode_error is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_127_.selected is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_126_.data_we is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_126_.data_re is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_126_.data_wdata is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_126_.data_addr is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_126_.data_width is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_126_.imm is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_126_.next_pc is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_126_.result is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_126_.decrement_counter is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_126_.use_rd is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_126_.use_rs2 is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_126_.use_rs1 is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_126_.execution_done is undriven. Either assign the signal a value or remove the signal declaration.
